######################################################################
#
# XLX live Reflector host file.
#
# This host file is auto-generated by the
# XLX self-registration mechanism.
#
######################################################################
#
#  If you like to use your XLX as a DCS Reflector,
#  please use an XLX number higher than 034.
#  DCS001 – 034 is used by the German D-Star developer team !!!
#
######################################################################
#
# If you find a mismatched entry please sent a mail to: dvc@rlx.lu
# Last update: 22.11.2022
#
###################################################################### 

#
# XLX-DCS Reflectors
#
DCS000	45.62.230.56
DCS071	211.60.41.185
DCS072	45.22.199.201
DCS073	45.77.192.120
DCS074	222.128.4.82
DCS076	203.137.116.117
DCS077	47.87.214.77
DCS078	18.236.66.239
DCS079	211.42.152.122
DCS080	180.144.16.178
DCS081	112.71.222.105
DCS082	93.51.103.229
DCS084	136.244.64.57
DCS085	113.150.26.8
DCS086	140.179.13.243
DCS088	44.137.37.242
DCS089	66.59.196.12
DCS090	18.234.51.231
DCS091	82.223.20.103
DCS092	80.211.182.156
DCS093	87.1.30.33
DCS095	203.137.76.53
DCS096	121.145.136.53
DCS098	119.238.109.217
DCS099	80.211.27.75
DCS100	45.62.232.11
DCS101	45.62.250.202
DCS102	24.172.229.151
DCS103	24.172.229.152
DCS104	24.172.229.153
DCS105	51.254.99.78
DCS106	68.51.221.108
DCS107	114.115.167.98
DCS108	60.84.77.81
DCS109	182.168.253.90
DCS110	140.82.14.24
DCS111	61.195.96.160
DCS112	82.223.54.35
DCS113	115.159.93.156
DCS114	164.90.140.111
DCS115	217.182.128.3
DCS116	80.211.90.242
DCS117	200.108.249.62
DCS118	5.249.148.252
DCS119	23.234.239.179
DCS120	129.123.74.133
DCS121	44.31.111.121
DCS122	194.37.80.40
DCS123	140.238.89.106
DCS124	211.14.169.234
DCS125	213.181.208.52
DCS126	217.173.179.95
DCS128	75.166.166.47
DCS129	150.66.36.114
DCS130	81.231.241.25
DCS131	45.80.171.194
DCS132	91.203.55.87
DCS133	62.220.129.89
DCS136	114.157.146.54
DCS137	66.85.173.37
DCS138	103.195.7.20
DCS139	66.42.93.25
DCS140	95.211.211.145
DCS141	3.19.122.217
DCS144	54.188.28.93
DCS145	70.15.39.11
DCS147	124.123.68.50
DCS148	122.154.141.51
DCS149	122.154.140.136
DCS150	192.241.158.197
DCS151	159.203.105.64
DCS154	153.179.231.210
DCS155	217.182.156.151
DCS156	18.233.216.229
DCS160	61.195.109.179
DCS162	212.91.190.81
DCS163	45.143.93.75
DCS165	79.107.239.187
DCS171	194.87.145.34
DCS174	81.169.128.244
DCS175	162.248.92.25
DCS176	128.22.152.69
DCS177	51.77.151.223
DCS178	178.251.180.150
DCS180	192.241.240.7
DCS181	108.61.242.174
DCS182	121.176.76.170
DCS183	45.32.75.47
DCS186	111.202.44.36
DCS190	190.194.12.53
DCS191	153.92.4.97
DCS192	118.27.9.127
DCS197	44.184.136.20
DCS199	82.29.37.151
DCS200	44.31.61.66
DCS201	157.245.45.67
DCS202	37.59.36.82
DCS204	77.162.87.115
DCS207	153.37.53.239
DCS208	213.186.34.50
DCS209	173.247.7.157
DCS210	161.97.169.233
DCS211	47.110.34.230
DCS212	52.38.90.188
DCS214	80.211.94.145
DCS215	207.246.95.65
DCS216	74.214.25.135
DCS218	51.222.85.251
DCS219	3.225.138.100
DCS220	164.70.120.126
DCS221	44.103.34.21
DCS222	93.186.251.81
DCS223	87.106.152.249
DCS224	203.137.99.97
DCS225	61.195.108.252
DCS227	89.33.44.100
DCS228	51.68.191.218
DCS229	195.49.75.204
DCS230	80.250.3.114
DCS231	217.133.15.187
DCS232	89.185.97.35
DCS234	95.179.236.76
DCS235	194.146.49.33
DCS236	209.190.4.10
DCS237	74.196.158.133
DCS238	95.154.31.11
DCS239	149.28.115.164
DCS240	75.39.2.11
DCS241	51.83.98.154
DCS242	66.42.84.85
DCS244	72.14.187.79
DCS245	192.248.165.35
DCS246	172.93.48.159
DCS247	136.244.97.211
DCS248	81.150.15.15
DCS250	85.208.48.207
DCS254	184.82.175.101
DCS255	142.91.158.199
DCS256	162.238.214.18
DCS257	45.89.88.118
DCS258	45.22.199.202
DCS259	149.202.75.50
DCS260	54.37.138.47
DCS262	92.194.132.135
DCS263	85.214.92.118
DCS264	52.2.131.118
DCS266	62.171.178.202
DCS267	91.209.16.180
DCS268	185.11.166.22
DCS269	198.245.55.177
DCS270	158.64.26.132
DCS271	217.61.23.253
DCS272	69.164.222.129
DCS277	63.78.117.77
DCS280	95.246.114.98
DCS281	74.91.126.68
DCS284	85.187.70.88
DCS286	93.186.113.147
DCS287	66.42.109.165
DCS288	172.112.239.190
DCS289	76.144.206.116
DCS290	44.182.7.20
DCS291	101.143.242.189
DCS295	74.208.48.179
DCS298	122.133.153.185
DCS299	202.36.45.107
DCS300	64.227.109.134
DCS301	124.187.44.129
DCS302	144.217.241.23
DCS303	75.70.52.143
DCS304	142.93.246.87
DCS305	178.250.54.203
DCS306	66.37.140.152
DCS307	72.21.76.154
DCS308	18.117.43.70
DCS309	198.74.54.133
DCS311	88.99.242.33
DCS312	192.241.160.183
DCS313	34.213.108.164
DCS314	186.18.41.172
DCS315	73.111.54.112
DCS316	68.102.142.116
DCS320	162.203.31.194
DCS321	44.169.1.30
DCS322	76.219.234.40
DCS323	76.128.198.150
DCS325	168.235.80.185
DCS326	61.195.125.193
DCS327	104.238.156.182
DCS328	212.237.33.114
DCS329	60.47.228.78
DCS330	23.129.32.82
DCS332	188.213.168.99
DCS333	46.149.220.118
DCS334	96.47.95.121
DCS335	76.20.215.85
DCS336	23.226.233.133
DCS337	20.118.24.47
DCS338	220.135.221.114
DCS339	178.254.30.57
DCS345	212.114.109.209
DCS350	180.21.181.9
DCS351	45.33.127.97
DCS353	44.155.254.12
DCS355	91.146.254.54
DCS356	217.174.61.117
DCS359	94.156.172.213
DCS362	198.166.220.68
DCS364	159.65.231.53
DCS365	222.6.234.205
DCS367	18.216.66.72
DCS369	72.89.122.8
DCS370	188.213.168.24
DCS371	212.237.8.77
DCS373	218.251.42.130
DCS374	68.183.19.139
DCS375	86.57.150.4
DCS376	149.28.166.59
DCS377	186.159.96.100
DCS379	74.91.117.153
DCS381	74.91.114.100
DCS382	210.188.60.150
DCS383	157.90.255.94
DCS385	141.138.10.86
DCS386	23.101.123.22
DCS387	209.250.237.53
DCS388	162.248.93.241
DCS389	45.32.218.174
DCS391	185.82.114.246
DCS395	95.255.196.50
DCS400	18.189.232.40
DCS404	91.229.143.187
DCS405	172.105.11.104
DCS406	45.62.229.114
DCS407	68.204.65.187
DCS408	45.62.246.122
DCS410	162.209.78.83
DCS411	45.19.176.12
DCS412	61.195.107.113
DCS414	66.42.113.132
DCS416	70.49.56.192
DCS417	142.113.158.223
DCS418	138.197.136.190
DCS419	144.202.60.46
DCS420	44.207.228.173
DCS421	178.254.33.188
DCS422	91.36.173.36
DCS423	155.138.197.71
DCS425	78.121.109.81
DCS427	68.230.147.59
DCS430	27.93.26.85
DCS431	61.195.98.225
DCS432	103.4.234.160
DCS434	51.254.128.134
DCS435	128.22.130.154
DCS436	183.77.38.232
DCS437	133.242.137.76
DCS439	79.42.246.218
DCS440	218.251.80.22
DCS441	203.137.99.110
DCS444	51.83.46.75
DCS445	18.221.229.191
DCS446	75.187.166.206
DCS448	66.206.51.107
DCS449	75.68.41.0
DCS450	220.71.19.222
DCS453	61.239.171.240
DCS454	218.103.102.5
DCS455	208.71.169.83
DCS456	54.37.205.183
DCS459	150.66.16.108
DCS460	87.14.251.133
DCS466	155.138.228.137
DCS467	153.126.179.214
DCS469	70.35.240.23
DCS470	104.153.108.131
DCS475	118.27.35.184
DCS476	171.33.84.7
DCS477	185.215.215.156
DCS478	52.15.234.145
DCS479	198.58.106.10
DCS480	95.179.145.178
DCS483	74.91.117.184
DCS485	138.68.167.167
DCS486	51.91.109.81
DCS493	104.218.221.46
DCS499	203.137.76.22
DCS500	44.136.58.10
DCS501	198.211.98.63
DCS503	179.51.0.153
DCS504	200.52.151.155
DCS505	45.248.50.37
DCS507	190.123.237.11
DCS508	185.188.4.15
DCS510	61.195.126.75
DCS511	93.103.146.221
DCS512	155.138.252.251
DCS514	203.137.118.143
DCS515	203.137.78.35
DCS516	47.100.29.86
DCS518	176.9.1.168
DCS519	104.152.208.69
DCS520	44.159.15.1
DCS522	103.197.58.223
DCS523	42.191.226.230
DCS530	119.224.19.178
DCS531	149.28.170.145
DCS533	139.224.207.157
DCS534	210.14.26.149
DCS535	203.159.93.71
DCS538	180.235.55.253
DCS543	161.97.112.218
DCS545	3.215.215.169
DCS546	137.184.40.84
DCS547	45.32.136.100
DCS550	178.62.80.22
DCS553	45.79.92.86
DCS555	77.3.8.66
DCS558	141.95.67.138
DCS559	5.185.12.29
DCS560	150.66.42.72
DCS561	128.22.133.152
DCS567	157.245.59.253
DCS568	175.163.81.95
DCS570	44.56.160.2
DCS571	186.29.69.77
DCS575	207.251.56.142
DCS580	153.194.17.196
DCS583	211.132.52.116
DCS585	213.212.133.250
DCS586	213.254.10.35
DCS587	104.8.207.66
DCS588	72.175.186.98
DCS590	163.58.70.135
DCS599	150.66.25.83
DCS600	161.97.181.4
DCS601	216.128.147.17
DCS602	212.56.100.200
DCS603	91.238.117.123
DCS604	139.162.241.24
DCS605	82.146.32.23
DCS606	62.3.64.165
DCS607	143.110.231.93
DCS608	219.122.253.83
DCS610	213.21.184.66
DCS612	185.231.245.31
DCS613	198.50.202.39
DCS616	103.156.68.246
DCS619	167.99.168.82
DCS620	61.195.108.241
DCS621	50.37.122.190
DCS622	209.182.218.92
DCS625	68.55.78.195
DCS626	158.101.149.128
DCS630	61.195.125.81
DCS632	64.91.238.36
DCS633	75.135.199.237
DCS634	150.66.9.57
DCS636	77.38.191.5
DCS645	34.196.134.215
DCS650	118.111.15.125
DCS651	104.143.94.48
DCS655	146.64.235.19
DCS659	104.131.106.247
DCS660	150.31.135.76
DCS661	210.203.214.9
DCS662	72.17.20.173
DCS666	95.179.179.175
DCS672	213.171.214.2
DCS673	180.147.243.178
DCS678	132.145.76.107
DCS679	45.79.180.62
DCS680	114.154.219.236
DCS683	198.46.160.211
DCS684	80.211.167.192
DCS687	47.186.91.168
DCS688	54.89.57.238
DCS689	97.107.128.47
DCS691	58.82.172.177
DCS698	203.137.123.89
DCS699	82.102.5.239
DCS700	83.85.167.55
DCS701	61.195.107.77
DCS704	150.66.34.110
DCS705	128.22.134.161
DCS706	93.186.255.126
DCS707	90.145.156.242
DCS708	150.66.20.222
DCS710	209.126.0.55
DCS713	218.251.63.99
DCS714	81.169.158.155
DCS715	92.187.244.245
DCS716	190.117.233.28
DCS718	45.77.142.226
DCS720	74.91.118.134
DCS721	184.56.164.214
DCS722	155.138.200.207
DCS723	62.38.192.143
DCS724	189.56.29.14
DCS727	143.198.216.15
DCS729	136.243.236.116
DCS730	186.64.123.59
DCS733	3.130.19.193
DCS734	75.135.150.224
DCS737	83.212.170.243
DCS738	153.127.23.8
DCS741	203.137.78.41
DCS745	122.249.179.68
DCS747	78.47.190.213
DCS748	142.47.103.44
DCS749	45.76.252.9
DCS750	203.86.206.49
DCS751	67.219.106.141
DCS752	62.171.154.188
DCS753	202.218.157.116
DCS755	89.234.155.6
DCS757	107.191.121.105
DCS760	47.39.85.94
DCS762	129.21.36.65
DCS763	20.245.98.187
DCS765	153.126.212.136
DCS766	201.62.48.61
DCS768	80.211.15.21
DCS770	153.126.173.9
DCS771	220.123.96.162
DCS772	146.56.185.110
DCS773	89.46.75.166
DCS774	44.31.14.30
DCS776	118.27.28.16
DCS777	194.182.80.219
DCS778	77.237.7.125
DCS781	101.143.242.199
DCS782	74.221.69.75
DCS787	46.41.1.96
DCS789	45.33.119.142
DCS792	74.211.111.70
DCS794	150.66.33.93
DCS795	213.91.190.32
DCS797	150.66.44.81
DCS799	37.143.206.229
DCS800	87.252.188.119
DCS801	80.108.239.88
DCS802	188.22.125.84
DCS803	77.117.134.206
DCS806	188.63.22.20
DCS807	116.91.197.3
DCS808	18.220.252.27
DCS810	71.41.121.228
DCS812	203.145.233.141
DCS813	139.186.161.29
DCS815	23.237.17.85
DCS816	35.199.38.36
DCS817	35.245.186.199
DCS818	188.166.226.76
DCS819	69.51.231.196
DCS822	103.76.180.131
DCS823	185.78.167.150
DCS824	47.206.37.226
DCS826	47.206.37.227
DCS827	207.148.3.18
DCS828	195.225.116.244
DCS829	75.115.219.194
DCS830	104.238.146.84
DCS835	45.32.82.218
DCS838	185.166.212.132
DCS841	119.199.235.196
DCS842	66.175.219.129
DCS844	137.226.79.122
DCS850	116.203.56.12
DCS852	1.36.248.207
DCS854	210.236.124.83
DCS855	87.154.23.129
DCS858	185.170.215.146
DCS860	24.134.86.93
DCS861	172.105.26.148
DCS862	93.56.202.205
DCS866	84.150.114.3
DCS870	185.78.196.20
DCS878	203.137.123.113
DCS880	213.171.208.97
DCS881	137.220.96.242
DCS882	172.105.19.52
DCS886	118.163.103.178
DCS887	118.163.103.177
DCS888	85.214.239.189
DCS889	18.188.148.180
DCS891	209.251.60.131
DCS893	153.233.251.158
DCS894	150.66.19.140
DCS899	77.68.30.160
DCS901	91.126.242.39
DCS902	104.6.229.93
DCS903	80.211.29.226
DCS904	150.66.5.57
DCS905	94.199.173.123
DCS907	81.34.187.92
DCS909	216.86.147.198
DCS910	138.128.240.100
DCS911	128.199.239.91
DCS912	80.211.1.143
DCS913	68.169.168.101
DCS914	92.57.47.187
DCS919	128.199.235.93
DCS920	18.217.73.9
DCS922	81.150.10.62
DCS923	155.138.197.71
DCS924	142.93.44.244
DCS930	80.211.133.104
DCS933	152.228.170.6
DCS934	79.62.11.22
DCS936	152.67.100.199
DCS937	81.25.49.85
DCS938	46.32.62.49
DCS940	202.218.37.121
DCS944	202.218.34.210
DCS945	213.202.229.40
DCS947	85.214.61.75
DCS948	46.101.36.246
DCS949	149.248.3.1
DCS950	158.64.26.134
DCS951	18.188.166.109
DCS954	188.192.134.65
DCS956	217.145.102.74
DCS957	87.106.228.96
DCS958	79.31.38.250
DCS959	203.137.98.121
DCS960	104.153.109.233
DCS963	108.61.205.139
DCS964	52.173.142.244
DCS965	80.211.190.216
DCS969	45.72.190.123
DCS972	109.226.48.53
DCS974	94.177.217.52
DCS976	80.12.83.150
DCS977	159.242.127.220
DCS978	3.96.107.200
DCS979	64.253.75.30
DCS980	68.183.63.188
DCS981	44.198.63.189
DCS982	68.36.33.45
DCS983	45.76.228.241
DCS985	137.74.170.168
DCS986	202.61.251.72
DCS987	158.140.45.77
DCS988	211.14.169.43
DCS989	50.25.201.67
DCS990	116.80.84.230
DCS991	93.70.217.152
DCS992	116.203.122.135
DCS994	95.179.231.28
DCS997	94.177.187.40
DCS998	75.60.111.137
DCS999	94.177.173.53
DCSA51	159.65.190.18
DCSARG	45.62.246.55
DCSCFR	45.62.229.77
DCSCZE	46.28.109.166
DCSDS6	142.47.109.166
DCSDVM	212.237.34.32
DCSFEI	88.105.46.59
DCSGUS	45.62.249.150
DCSHBN	139.144.30.222
DCSHKG	42.98.121.155
DCSHP3	198.211.29.4
DCSILS	216.176.97.46
DCSITA	46.226.178.85
DCSJAR	45.33.85.235
DCSJPN	152.117.141.6
DCSLEF	77.68.25.66
DCSNLD	90.145.156.214
DCSNRW	178.202.110.145
DCSOKL	72.206.35.5
DCSOSK	121.93.123.128
DCSPRP	18.222.190.27
DCSPTA	206.189.17.7
DCSRC1	91.192.92.181
DCSRUS	45.147.178.46
DCSSAT	149.28.241.139
DCSTHA	203.150.19.24
DCSTRK	130.61.84.77
DCSTYO	43.233.8.33
DCSUDN	133.123.200.220
DCSUFO	45.92.44.45
DCSUMB	79.23.185.18
DCSUS1	34.75.201.117
DCSUS2	34.68.104.251
DCSUS3	34.125.157.223
DCSUS4	34.94.168.67
DCSUS5	35.235.109.69
DCSUSA	35.232.145.123
DCSVPS	44.31.5.10
DCSWDG	149.28.200.232
DCSWIT	85.214.232.205
DCSWLF	217.160.144.235
DCSWVV	104.238.170.124
DCSYYP	183.176.193.109
DCSZTA	75.74.122.203
DCSZZZ	45.62.230.27
#
# XLX-XRF Reflectors
#
XRF000	45.62.230.56
XRF001	80.211.62.178
XRF002	140.82.62.162
XRF003	173.199.124.183
XRF004	44.103.34.3
XRF005	87.117.229.51
XRF006	162.55.61.122
XRF007	44.137.42.27
XRF008	45.77.153.132
XRF009	118.150.164.96
XRF010	85.197.129.86
XRF011	81.95.126.168
XRF012	46.41.2.20
XRF013	18.188.189.124
XRF014	52.63.223.130
XRF015	194.59.205.228
XRF016	150.66.42.17
XRF017	191.162.172.183
XRF018	161.97.73.43
XRF019	31.7.247.58
XRF020	66.175.215.217
XRF021	148.251.94.163
XRF022	83.137.45.98
XRF023	77.85.192.94
XRF024	37.102.122.254
XRF025	89.38.150.252
XRF026	209.42.149.140
XRF027	198.12.71.101
XRF028	216.128.130.30
XRF029	3.129.150.138
XRF030	194.59.177.44
XRF031	201.62.48.60
XRF032	158.64.26.140
XRF033	152.228.170.16
XRF034	176.121.81.54
XRF035	45.79.94.184
XRF036	101.89.136.112
XRF037	198.100.154.155
XRF038	44.103.34.19
XRF039	212.237.3.90
XRF040	185.11.166.85
XRF041	66.30.219.127
XRF043	206.189.239.225
XRF044	45.33.92.245
XRF045	70.44.20.24
XRF046	190.54.137.189
XRF047	202.171.147.58
XRF048	209.141.41.253
XRF049	212.71.234.224
XRF050	140.82.51.26
XRF051	93.186.254.219
XRF052	128.22.149.69
XRF053	10.49.243.18
XRF054	208.104.55.181
XRF055	52.80.4.154
XRF056	66.42.126.197
XRF057	216.84.141.161
XRF058	150.66.16.176
XRF059	18.219.32.21
XRF060	45.76.133.116
XRF061	192.248.160.49
XRF063	93.49.253.148
XRF064	122.222.1.50
XRF065	74.130.9.190
XRF066	47.100.164.89
XRF067	140.228.144.142
XRF068	92.222.145.202
XRF069	51.77.213.200
XRF070	18.130.199.150
XRF071	211.60.41.185
XRF072	45.22.199.201
XRF073	45.77.192.120
XRF074	222.128.4.82
XRF076	203.137.116.117
XRF077	47.87.214.77
XRF078	18.236.66.239
XRF079	211.42.152.122
XRF080	180.144.16.178
XRF081	112.71.222.105
XRF082	93.51.103.229
XRF084	136.244.64.57
XRF085	113.150.26.8
XRF086	140.179.13.243
XRF088	44.137.37.242
XRF089	66.59.196.12
XRF090	18.234.51.231
XRF091	82.223.20.103
XRF092	80.211.182.156
XRF093	87.1.30.33
XRF095	203.137.76.53
XRF096	121.145.136.53
XRF098	119.238.109.217
XRF099	80.211.27.75
XRF100	45.62.232.11
XRF101	45.62.250.202
XRF102	24.172.229.151
XRF103	24.172.229.152
XRF104	24.172.229.153
XRF105	51.254.99.78
XRF106	68.51.221.108
XRF107	114.115.167.98
XRF108	60.84.77.81
XRF109	182.168.253.90
XRF110	140.82.14.24
XRF111	61.195.96.160
XRF112	82.223.54.35
XRF113	115.159.93.156
XRF114	164.90.140.111
XRF115	217.182.128.3
XRF116	80.211.90.242
XRF117	200.108.249.62
XRF118	5.249.148.252
XRF119	23.234.239.179
XRF120	129.123.74.133
XRF121	44.31.111.121
XRF122	194.37.80.40
XRF123	140.238.89.106
XRF124	211.14.169.234
XRF125	213.181.208.52
XRF126	217.173.179.95
XRF128	75.166.166.47
XRF129	150.66.36.114
XRF130	81.231.241.25
XRF131	45.80.171.194
XRF132	91.203.55.87
XRF133	62.220.129.89
XRF136	114.157.146.54
XRF137	66.85.173.37
XRF138	103.195.7.20
XRF139	66.42.93.25
XRF140	95.211.211.145
XRF141	3.19.122.217
XRF144	54.188.28.93
XRF145	70.15.39.11
XRF147	124.123.68.50
XRF148	122.154.141.51
XRF149	122.154.140.136
XRF150	192.241.158.197
XRF151	159.203.105.64
XRF154	153.179.231.210
XRF155	217.182.156.151
XRF156	18.233.216.229
XRF160	61.195.109.179
XRF162	212.91.190.81
XRF163	45.143.93.75
XRF165	79.107.239.187
XRF171	194.87.145.34
XRF174	81.169.128.244
XRF175	162.248.92.25
XRF176	128.22.152.69
XRF177	51.77.151.223
XRF178	178.251.180.150
XRF180	192.241.240.7
XRF181	108.61.242.174
XRF182	121.176.76.170
XRF183	45.32.75.47
XRF186	111.202.44.36
XRF190	190.194.12.53
XRF191	153.92.4.97
XRF192	118.27.9.127
XRF197	44.184.136.20
XRF199	82.29.37.151
XRF200	44.31.61.66
XRF201	157.245.45.67
XRF202	37.59.36.82
XRF204	77.162.87.115
XRF207	153.37.53.239
XRF208	213.186.34.50
XRF209	173.247.7.157
XRF210	161.97.169.233
XRF211	47.110.34.230
XRF212	52.38.90.188
XRF214	80.211.94.145
XRF215	207.246.95.65
XRF216	74.214.25.135
XRF218	51.222.85.251
XRF219	3.225.138.100
XRF220	164.70.120.126
XRF221	44.103.34.21
XRF222	93.186.251.81
XRF223	87.106.152.249
XRF224	203.137.99.97
XRF225	61.195.108.252
XRF227	89.33.44.100
XRF228	51.68.191.218
XRF229	195.49.75.204
XRF230	80.250.3.114
XRF231	217.133.15.187
XRF232	89.185.97.35
XRF234	95.179.236.76
XRF235	194.146.49.33
XRF236	209.190.4.10
XRF237	74.196.158.133
XRF238	95.154.31.11
XRF239	149.28.115.164
XRF240	75.39.2.11
XRF241	51.83.98.154
XRF242	66.42.84.85
XRF244	72.14.187.79
XRF245	192.248.165.35
XRF246	172.93.48.159
XRF247	136.244.97.211
XRF248	81.150.15.15
XRF250	85.208.48.207
XRF254	184.82.175.101
XRF255	142.91.158.199
XRF256	162.238.214.18
XRF257	45.89.88.118
XRF258	45.22.199.202
XRF259	149.202.75.50
XRF260	54.37.138.47
XRF262	92.194.132.135
XRF263	85.214.92.118
XRF264	52.2.131.118
XRF266	62.171.178.202
XRF267	91.209.16.180
XRF268	185.11.166.22
XRF269	198.245.55.177
XRF270	158.64.26.132
XRF271	217.61.23.253
XRF272	69.164.222.129
XRF277	63.78.117.77
XRF280	95.246.114.98
XRF281	74.91.126.68
XRF284	85.187.70.88
XRF286	93.186.113.147
XRF287	66.42.109.165
XRF288	172.112.239.190
XRF289	76.144.206.116
XRF290	44.182.7.20
XRF291	101.143.242.189
XRF295	74.208.48.179
XRF298	122.133.153.185
XRF299	202.36.45.107
XRF300	64.227.109.134
XRF301	124.187.44.129
XRF302	144.217.241.23
XRF303	75.70.52.143
XRF304	142.93.246.87
XRF305	178.250.54.203
XRF306	66.37.140.152
XRF307	72.21.76.154
XRF308	18.117.43.70
XRF309	198.74.54.133
XRF311	88.99.242.33
XRF312	192.241.160.183
XRF313	34.213.108.164
XRF314	186.18.41.172
XRF315	73.111.54.112
XRF316	68.102.142.116
XRF320	162.203.31.194
XRF321	44.169.1.30
XRF322	76.219.234.40
XRF323	76.128.198.150
XRF325	168.235.80.185
XRF326	61.195.125.193
XRF327	104.238.156.182
XRF328	212.237.33.114
XRF329	60.47.228.78
XRF330	23.129.32.82
XRF332	188.213.168.99
XRF333	46.149.220.118
XRF334	96.47.95.121
XRF335	76.20.215.85
XRF336	23.226.233.133
XRF337	20.118.24.47
XRF338	220.135.221.114
XRF339	178.254.30.57
XRF345	212.114.109.209
XRF350	180.21.181.9
XRF351	45.33.127.97
XRF353	44.155.254.12
XRF355	91.146.254.54
XRF356	217.174.61.117
XRF359	94.156.172.213
XRF362	198.166.220.68
XRF364	159.65.231.53
XRF365	222.6.234.205
XRF367	18.216.66.72
XRF369	72.89.122.8
XRF370	188.213.168.24
XRF371	212.237.8.77
XRF373	218.251.42.130
XRF374	68.183.19.139
XRF375	86.57.150.4
XRF376	149.28.166.59
XRF377	186.159.96.100
XRF379	74.91.117.153
XRF381	74.91.114.100
XRF382	210.188.60.150
XRF383	157.90.255.94
XRF385	141.138.10.86
XRF386	23.101.123.22
XRF387	209.250.237.53
XRF388	162.248.93.241
XRF389	45.32.218.174
XRF391	185.82.114.246
XRF395	95.255.196.50
XRF400	18.189.232.40
XRF404	91.229.143.187
XRF405	172.105.11.104
XRF406	45.62.229.114
XRF407	68.204.65.187
XRF408	45.62.246.122
XRF410	162.209.78.83
XRF411	45.19.176.12
XRF412	61.195.107.113
XRF414	66.42.113.132
XRF416	70.49.56.192
XRF417	142.113.158.223
XRF418	138.197.136.190
XRF419	144.202.60.46
XRF420	44.207.228.173
XRF421	178.254.33.188
XRF422	91.36.173.36
XRF423	155.138.197.71
XRF425	78.121.109.81
XRF427	68.230.147.59
XRF430	27.93.26.85
XRF431	61.195.98.225
XRF432	103.4.234.160
XRF434	51.254.128.134
XRF435	128.22.130.154
XRF436	183.77.38.232
XRF437	133.242.137.76
XRF439	79.42.246.218
XRF440	218.251.80.22
XRF441	203.137.99.110
XRF444	51.83.46.75
XRF445	18.221.229.191
XRF446	75.187.166.206
XRF448	66.206.51.107
XRF449	75.68.41.0
XRF450	220.71.19.222
XRF453	61.239.171.240
XRF454	218.103.102.5
XRF455	208.71.169.83
XRF456	54.37.205.183
XRF459	150.66.16.108
XRF460	87.14.251.133
XRF466	155.138.228.137
XRF467	153.126.179.214
XRF469	70.35.240.23
XRF470	104.153.108.131
XRF475	118.27.35.184
XRF476	171.33.84.7
XRF477	185.215.215.156
XRF478	52.15.234.145
XRF479	198.58.106.10
XRF480	95.179.145.178
XRF483	74.91.117.184
XRF485	138.68.167.167
XRF486	51.91.109.81
XRF493	104.218.221.46
XRF499	203.137.76.22
XRF500	44.136.58.10
XRF501	198.211.98.63
XRF503	179.51.0.153
XRF504	200.52.151.155
XRF505	45.248.50.37
XRF507	190.123.237.11
XRF508	185.188.4.15
XRF510	61.195.126.75
XRF511	93.103.146.221
XRF512	155.138.252.251
XRF514	203.137.118.143
XRF515	203.137.78.35
XRF516	47.100.29.86
